train/learning_rate,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/ent_coef_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.0003,1083,32.90032958984375,0.0093973558396101,100.0,39600,396,-40.3057929,0.00848414283245802,39499,-2.0351758003234863,36,,
0.0003,,33.1563720703125,0.009551122784614563,,40000,,,0.00853568036109209,39899,1.6762378215789795,,100.0,-37.17338529999999
,1095,,,100.0,40000,400,-40.25269193,,,,36,,
0.0003,1101,33.31501770019531,0.01059849001467228,100.0,40400,404,-40.151222510000004,0.008555120788514614,40299,-0.3311006426811218,36,,
0.0003,,33.30223846435547,0.009369034320116043,,40500,,,0.008562503382563591,40399,1.1338040828704834,,100.0,-36.371674399999996
0.0003,1113,33.589569091796875,0.009554900228977203,100.0,40800,408,-40.113803159999996,0.0085197938606143,40699,0.6251685619354248,36,,
0.0003,,33.19361877441406,0.009867938235402107,,41000,,,0.008509354665875435,40899,0.20210719108581543,,100.0,-37.188514360000006
0.0003,1125,33.671356201171875,0.009713169187307358,100.0,41200,412,-40.37118537,0.008511153049767017,41099,-0.432488352060318,36,,
0.0003,,33.670448303222656,0.014714467339217663,,41500,,,0.008580135181546211,41399,-1.4462865591049194,,100.0,-36.4145898
0.0003,1137,33.626041412353516,0.012416185811161995,100.0,41600,416,-40.40089573,0.00857181753963232,41499,-0.17344345152378082,36,,
0.0003,,33.70683288574219,0.013096571899950504,,42000,,,0.00856710970401764,41899,2.296504497528076,,100.0,-36.76331826
,1150,,,100.0,42000,420,-40.4968317,,,,36,,
0.0003,1155,34.11656951904297,0.009166854433715343,100.0,42400,424,-40.39052018,0.008654496632516384,42299,-0.4591009020805359,36,,
0.0003,,33.97351837158203,0.009511265903711319,,42500,,,0.00868827011436224,42399,1.4525647163391113,,100.0,-35.9203445
0.0003,1167,33.85163116455078,0.010093853808939457,100.0,42800,428,-40.24261731,0.008667262271046638,42699,1.6937174797058105,36,,
0.0003,,34.152931213378906,0.012251267209649086,,43000,,,0.008648115210235119,42899,0.24495242536067963,,100.0,-36.5420847
0.0003,1180,34.33024597167969,0.011529246345162392,100.0,43200,432,-40.22566536,0.008701188489794731,43099,-2.657670497894287,36,,
0.0003,,34.55949783325195,0.01366603747010231,,43500,,,0.008739793673157692,43399,-0.2735004425048828,,100.0,-35.83970088
0.0003,1192,34.67817687988281,0.012346172705292702,100.0,43600,436,-40.4699067,0.008716669864952564,43499,1.6093459129333496,36,,
0.0003,,34.483734130859375,0.011294033378362656,,44000,,,0.008714281022548676,43899,0.8729323744773865,,100.0,-36.23044036
,1204,,,100.0,44000,440,-40.31017068,,,,36,,
0.0003,1209,34.907875061035156,0.01037560310214758,100.0,44400,444,-40.35483732000001,0.008700363337993622,44299,0.7193230390548706,36,,
0.0003,,35.103309631347656,0.009630925953388214,,44500,,,0.008715813979506493,44399,-1.703926682472229,,100.0,-36.403065240000004
0.0003,1222,34.94981002807617,0.01590397022664547,100.0,44800,448,-40.47694645000001,0.008801380172371864,44699,-0.8257873058319092,36,,
0.0003,,35.18802261352539,0.0101550268009305,,45000,,,0.0087409233674407,44899,-0.18594300746917725,,100.0,-36.4925819
0.0003,1234,35.244937896728516,0.009306379593908787,100.0,45200,452,-40.51586374,0.008784320205450058,45099,-1.3537349700927734,36,,
0.0003,,34.92523956298828,0.011616834439337254,,45500,,,0.008786720223724842,45399,-0.4875744581222534,,100.0,-36.755652219999995
0.0003,1247,35.23600769042969,0.009994367137551308,100.0,45600,456,-40.604669959999995,0.008792709559202194,45499,-0.13436216115951538,36,,
0.0003,,34.97200012207031,0.009398628026247025,,46000,,,0.008837731555104256,45899,0.0973203182220459,,100.0,-36.86725432
,1259,,,100.0,46000,460,-40.63293829999999,,,,36,,
0.0003,1264,35.22709655761719,0.009995554573833942,100.0,46400,464,-40.4066756,0.008886002004146576,46299,-1.2956539392471313,36,,
0.0003,,35.66380310058594,0.01107776165008545,,46500,,,0.008876139298081398,46399,-0.7797205448150635,,100.0,-37.718677400000004
0.0003,1277,35.31250762939453,0.009278442710638046,100.0,46800,468,-39.9998654,0.008839915506541729,46699,0.11249861121177673,36,,
0.0003,,35.6866340637207,0.009917732328176498,,47000,,,0.008807769976556301,46899,0.08849862217903137,,100.0,-37.08228576
0.0003,1289,35.6525764465332,0.00970796775072813,100.0,47200,472,-40.0646012,0.008815177716314793,47099,0.8723080158233643,36,,
